https://www.dafiti.com.ar/Zapatilla-Negra-Adidas-Originals-Gazelle-314099.html | $14869 | ↓50% from min | ↓50%

https://www.dafiti.com.ar/Zapatilla-Violeta-Olympikus-Flower-2-423736.html | $7649 | ↓50% from min | ↓50%

https://www.dafiti.com.ar/Zapatilla-Negra-Fila-Reach-170768.html | $8369 | ↓48% from min | ↓48%

https://www.dafiti.com.ar/Zapatilla-Gris-Athix-Fit-370913.html | $4799 | ↓48% from min | ↓48%

https://www.dafiti.com.ar/Zapatilla--Negra--Puma--Carson-2-X-Knit-Wn-S-Adp-391211.html | $9159 | ↓48% from min | ↓48%

https://www.dafiti.com.ar/Zapatilla-Gris-Diadora-Piemonte-946215.html | $4959 | ↓47% from min | ↓61%

https://www.dafiti.com.ar/Zapatilla-Gris-Adidas-Response-Run-675149.html | $12969 | ↓47% from min | ↓47%

https://www.dafiti.com.ar/Zapatilla-Negra-Adidas-X9000L1-819618.html | $12989 | ↓47% from min | ↓47%

https://www.dafiti.com.ar/Zapatilla-Rosa-Adidas-Qt-Racer-379429.html | $12989 | ↓47% from min | ↓47%

https://www.dafiti.com.ar/Zapatilla-Violeta-Reebok-Flexagon-Energy-379299.html | $7159 | ↓47% from min | ↓47%

https://www.dafiti.com.ar/Zapatilla-Negra-Diadora-P406DIA-932708.html | $3729 | ↓46% from min | ↓48%

https://www.dafiti.com.ar/Zapatilla-Azul-Adidas-Performance-Duramo-10-939003.html | $7649 | ↓45% from min | ↓62%

https://www.dafiti.com.ar/Zapatilla-Rosa-Adidas-Performance-Duramo-10-939006.html | $7649 | ↓45% from min | ↓62%

https://www.dafiti.com.ar/Zapatilla-Negra-Puma-Cilia-Lux-453073.html | $9969 | ↓44% from min | ↓44%

https://www.dafiti.com.ar/Zapatilla-Negra-Adidas-Originals-U-Path-502790.html | $17149 | ↓43% from min | ↓43%

https://www.dafiti.com.ar/Zapatilla-Negra-DC-Shoes-TRASE-PLATFORM-SE-453819.html | $9619 | ↓43% from min | ↓43%

https://www.dafiti.com.ar/Zapatilla-Gris-DC-Shoes-Evan-Hi-Zero-Le-350721.html | $9669 | ↓43% from min | ↓43%

https://www.dafiti.com.ar/Zapatilla--Negra--Puma--Smash-Wns-V2-L-Perf-Adp-391210.html | $10159 | ↓43% from min | ↓43%

https://www.dafiti.com.ar/Zapatilla-Gris-Reef-Skilt-895146.html | $4799 | ↓42% from min | ↓42%

https://www.dafiti.com.ar/Zapatilla-Negra-Pony-Energy-Ox-922956.html | $4799 | ↓42% from min | ↓42%

https://www.dafiti.com.ar/Zapatilla-Azul-DC-Shoes-Stag-Lite-719176.html | $9879 | ↓41% from min | ↓41%

https://www.dafiti.com.ar/Zapatilla-Verde-Puma-Wired-Run-Adp-779737.html | $7899 | ↓41% from min | ↓41%

https://www.dafiti.com.ar/Zapatilla-Rosa-Adidas-Cloudfoam-Pure-379427.html | $14449 | ↓41% from min | ↓41%

https://www.dafiti.com.ar/Zapatilla-Negra-DC-Shoes-Trase-Platform-Se-358250.html | $9969 | ↓41% from min | ↓41%

https://www.dafiti.com.ar/Zapatilla-Negra-Stork-Man-Macaro-926542.html | $4969 | ↓40% from min | ↓67%

https://www.dafiti.com.ar/Zapatilla-Azul-New-Balance-342517.html | $10109 | ↓40% from min | ↓40%

https://www.dafiti.com.ar/Zapatilla-Azul-New-Balance-Cruz-v2-394552.html | $10149 | ↓40% from min | ↓40%

https://www.dafiti.com.ar/Remera-Azul-G4-371651.html | $1669 | ↓40% from min | ↓40%

https://www.dafiti.com.ar/Remera-Blanca-Fraction-Net-323424.html | $1739 | ↓40% from min | ↓40%

